,,,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Brian Forte,NBA,61,177.3,42.4,39.3,221.0,+1.1,-1.3,0.0,-0.2,.459,88.3,20.6,19.8,110.0,.541,88.9,21.8,19.5,111.0,-.082,-0.6,-1.2,+0.3,-1.0,-.175,-0.7,-1.3,+0.3,-2.8
Scott Foster,NBA,43,175.7,42.9,38.7,219.7,-0.5,-0.8,-0.6,-1.5,.581,88.5,20.5,19.7,110.7,.419,87.1,22.4,19.0,109.0,+.163,+1.4,-1.9,+0.8,+1.7,+.070,+1.3,-2.0,+0.8,-0.1
Pat Fraher,NBA,60,175.8,40.6,36.5,217.5,-0.4,-3.1,-2.8,-3.7,.533,87.9,20.9,17.7,109.0,.467,87.9,19.7,18.8,108.6,+.067,0.0,+1.2,-1.0,+0.4,-.026,-0.1,+1.1,-1.0,-1.4
Jacyn Goble,NBA,64,172.4,46.6,40.7,223.4,-3.8,+2.9,+1.4,+2.2,.500,86.4,23.0,20.5,112.4,.500,86.0,23.5,20.2,111.0,.000,+0.3,-0.5,+0.4,+1.4,-.093,+0.2,-0.6,+0.4,-0.4
John Goble,NBA,46,176.9,42.6,37.9,219.6,+0.7,-1.1,-1.4,-1.6,.500,88.2,21.1,19.2,110.7,.500,88.7,21.5,18.7,108.9,.000,-0.5,-0.4,+0.4,+1.8,-.093,-0.6,-0.5,+0.4,0.0
Jason Goldenberg,NBA,41,171.4,46.9,41.9,220.8,-4.8,+3.2,+2.6,-0.4,.659,85.5,24.0,20.6,112.3,.341,85.9,22.8,21.2,108.4,+.317,-0.4,+1.2,-0.6,+3.9,+.224,-0.5,+1.1,-0.6,+2.1
Nate Green,NBA,28,177.1,41.7,38.1,218.8,+0.9,-2.0,-1.2,-2.4,.536,88.5,20.8,18.6,109.9,.464,88.6,21.0,19.4,108.9,+.071,-0.1,-0.2,-0.8,+1.0,-.022,-0.2,-0.3,-0.8,-0.8
David Guthrie,NBA,58,176.9,45.1,40.1,226.4,+0.7,+1.4,+0.8,+5.2,.500,88.9,23.1,19.8,112.6,.500,87.9,22.0,20.3,113.7,.000,+1.0,+1.1,-0.4,-1.1,-.093,+0.9,+1.0,-0.4,-2.9
Lauren Holtkamp-Sterling,NBA,55,177.6,43.7,39.2,219.6,+1.4,0.0,-0.1,-1.6,.655,88.8,21.9,19.7,112.2,.345,88.7,21.8,19.5,107.3,+.309,+0.1,0.0,+0.1,+4.9,+.216,0.0,-0.1,+0.1,+3.1
Robert Hussey,NBA,10,178.7,41.4,36.2,226.4,+2.5,-2.3,-3.1,+5.2,.400,89.3,21.4,17.8,112.0,.600,89.4,20.0,18.4,114.4,-.200,-0.1,+1.4,-0.6,-2.4,-.293,-0.2,+1.3,-0.6,-4.2
Simone Jelks,NBA,1,175.0,53.0,47.0,230.0,-1.2,+9.3,+7.7,+8.8,1.000,87.0,31.0,22.0,124.0,.000,88.0,22.0,25.0,106.0,+1.000,-1.0,+9.0,-3.0,+18.0,+.907,-1.1,+8.9,-3.0,+16.2
Matt Kallio,NBA,10,174.2,42.0,37.5,218.5,-2.0,-1.7,-1.8,-2.7,.300,87.1,20.6,19.5,108.1,.700,87.1,21.4,18.0,110.4,-.400,0.0,-0.8,+1.5,-2.3,-.493,-0.1,-0.9,+1.5,-4.1
Bill Kennedy,NBA,60,176.6,44.0,39.6,219.6,+0.4,+0.3,+0.3,-1.6,.533,87.9,22.1,19.8,110.6,.467,88.7,21.9,19.9,108.9,+.067,-0.9,+0.1,-0.1,+1.7,-.026,-1.0,0.0,-0.1,-0.1
Courtney Kirkland,NBA,54,176.7,42.5,39.6,218.3,+0.5,-1.2,+0.3,-2.9,.574,89.1,21.1,19.8,110.3,.426,87.5,21.4,19.8,108.0,+.148,+1.6,-0.4,0.0,+2.2,+.055,+1.5,-0.5,0.0,+0.4
Marat Kogut,NBA,54,173.8,45.8,40.8,221.1,-2.4,+2.1,+1.5,-0.1,.426,87.7,22.9,20.1,109.4,.574,86.1,22.9,20.7,111.8,-.148,+1.7,-0.1,-0.6,-2.4,-.241,+1.6,-0.2,-0.6,-4.2
